ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
BLZD00001;Blizzard;In che anno è stato rilasciato il primo Warcraft: Orcs & Humans?;4 risposte;A) 1992, ###B) 1994, C) 1996, D) 1998;⭐⭐;14/12/2025
BLZD00002;Blizzard;Quale studio ha fondato Blizzard Entertainment?;4 risposte;A) Valve, B) Bungie, ###C) Blizzard (fondatori: Allen Adham, Michael Morhaime, Frank Pearce), D) id Software;⭐⭐;14/12/2025
BLZD00003;Blizzard;StarCraft è un gioco di strategia in tempo reale.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BLZD00004;Blizzard;Quale razza non è giocabile in StarCraft originale?;4 risposte;A) Terran, B) Zerg, ###C) Protoss, D) Reapers;⭐⭐;14/12/2025
BLZD00005;Blizzard;Scrivi il nome dell'espansione di Warcraft III che ha introdotto Arthas come Re dei Lich.;Risposta aperta;###The Frozen Throne;⭐⭐;14/12/2025
BLZD00006;Blizzard;Chi è il creatore del franchise Diablo?;4 risposte;A) Chris Metzen, B) Rob Pardo, ###C) David Brevik (co-creatore), D) Mike Morhaime;⭐⭐⭐;14/12/2025
BLZD00007;Blizzard;Diablo III è stato rilasciato originariamente nel 2012.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00008;Blizzard;Quale classe non è presente in Diablo II?;4 risposte;A) Amazon, B) Necromancer, C) Paladin, ###D) Demon Hunter;⭐⭐;14/12/2025
BLZD00009;Blizzard;Qual è il nome della capitale umana in Warcraft III?;4 risposte;A) Orgrimmar, ###B) Lordaeron, C) Dalaran, D) Stormwind;⭐⭐;14/12/2025
BLZD00010;Blizzard;Scrivi il nome del protagonista umano che diventa il Cavaliere della Morte in Warcraft III.;Risposta aperta;###Arthas Menethil;⭐⭐;14/12/2025
BLZD00011;Blizzard;Il multiplayer di StarCraft è stato fondamentale per la scena eSport.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00012;Blizzard;Quale espansione di StarCraft II ha come protagonista Kerrigan?;4 risposte;A) Wings of Liberty, ###B) Heart of the Swarm, C) Legacy of the Void, D) Nova Covert Ops;⭐⭐;14/12/2025
BLZD00013;Blizzard;Chi è il leader dei Protoss in molte storie di StarCraft?;4 risposte;A) Zeratul, B) Artanis, ###C) Tassadar, D) Mengsk;⭐⭐⭐;14/12/2025
BLZD00014;Blizzard;Scrivi il nome del demone principale della serie Diablo originale.;Risposta aperta;###Diablo;⭐⭐;14/12/2025
BLZD00015;Blizzard;World of Warcraft è un MMORPG ambientato nell'universo di Warcraft.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BLZD00016;Blizzard;Quale espansione di World of Warcraft ha introdotto i Draenei e i Blood Elves?;4 risposte;A) The Burning Crusade, ###B) The Burning Crusade, C) Wrath of the Lich King, D) Cataclysm;⭐⭐;14/12/2025
