Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
HRPT00001;Harry Potter;Come si chiama la scuola di magia frequentata da Harry?;4 risposte;A) Beauxbatons, B) Durmstrang, @C) Hogwarts, D) Ilvermorny;⭐;14/12/2025
HRPT00002;Harry Potter;Qual è il nome completo di Harry?;4 risposte;A) Harry James Potter, @A) Harry James Potter, B) Harry Sirius Potter, C) Harry Remus Potter, D) Harry Albus Potter;⭐;14/12/2025
HRPT00003;Harry Potter;I Dursley sono i parenti adottivi di Harry.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00004;Harry Potter;Chi è il preside di Hogwarts nella maggior parte della saga?;4 risposte;A) Severus Piton, B) Minerva McGranitt, @C) Albus Silente, D) Horace Lumacorno;⭐⭐;14/12/2025
HRPT00005;Harry Potter;Scrivi il nome del gufo di Harry.;Risposta aperta;@Edvige;⭐;14/12/2025
HRPT00006;Harry Potter;Chi è il migliore amico di Harry?;4 risposte;A) Draco Malfoy, @B) Ron Weasley, C) Neville Paciock, D) Cedric Diggory;⭐;14/12/2025
HRPT00007;Harry Potter;Hermione è nata babbana.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00008;Harry Potter;Qual è la casa di Draco Malfoy?;4 risposte;A) Grifondoro, B) Tassorosso, C) Corvonero, @D) Serpeverde;⭐;14/12/2025
HRPT00009;Harry Potter;Come si chiama il gioco con le scope volanti?;4 risposte;A) Gobbiglie, B) Pluffa, @C) Quidditch, D) Corsa dei Tiri;⭐;14/12/2025
HRPT00010;Harry Potter;Qual è il nome del serpente di Voldemort?;4 risposte;A) Basilisco, B) Aragog, @C) Nagini, D) Norberto;⭐⭐;14/12/2025
HRPT00011;Harry Potter;Chi è il padrino di Harry?;4 risposte;A) Remus Lupin, @B) Sirius Black, C) Arthur Weasley, D) Alastor Moody;⭐⭐;14/12/2025
HRPT00012;Harry Potter;La cicatrice di Harry ha la forma di un fulmine.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00013;Harry Potter;Qual è la casa di Hermione?;4 risposte;A) Serpeverde, B) Corvonero, C) Tassorosso, @D) Grifondoro;⭐;14/12/2025
HRPT00014;Harry Potter;Chi è il mezzogigante guardiacaccia di Hogwarts?;4 risposte;A) Karkaroff, B) Maxime, @C) Hagrid, D) Grawp;⭐⭐;14/12/2025
HRPT00015;Harry Potter;Qual è il nome del drago affrontato da Harry nel Torneo Tremaghi?;4 risposte;A) Vipera del Fuoco, @B) Ungaro Spinato, C) Verde Gallese, D) Nero Norvegese;⭐⭐⭐;14/12/2025
HRPT00016;Harry Potter;Scrivi il nome del fratello di Ron.;Risposta aperta;@Percy (accettati anche: Bill, Charlie, Fred, George, Ginny);⭐⭐;14/12/2025
HRPT00017;Harry Potter;Chi insegna Pozioni nei primi anni di Harry?;4 risposte;A) Lumacorno, @B) Piton, C) McGranitt, D) Raptor;⭐⭐;14/12/2025
HRPT00018;Harry Potter;I Dissennatori si nutrono di felicità.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00019;Harry Potter;Chi è il prescelto secondo la profezia?;4 risposte;A) Neville, @B) Harry, C) Draco, D) Cedric;⭐⭐;14/12/2025
HRPT00020;Harry Potter;Qual è il nome del treno per Hogwarts?;4 risposte;A) Espresso Magico, @B) Espresso per Hogwarts, C) Treno Rosso, D) Locomotiva 5972;⭐;14/12/2025
HRPT00021;Harry Potter;Chi è il direttore di Serpeverde?;4 risposte;A) Silente, B) McGranitt, @C) Piton, D) Lumacorno;⭐⭐;14/12/2025
HRPT00022;Harry Potter;La Camera dei Segreti è stata aperta da Tom Riddle.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00023;Harry Potter;Qual è la casa di Luna Lovegood?;4 risposte;A) Grifondoro, B) Serpeverde, @C) Corvonero, D) Tassorosso;⭐⭐;14/12/2025
HRPT00024;Harry Potter;Chi è il padre di Draco Malfoy?;4 risposte;A) Arthur, B) Amos, @C) Lucius, D) Xenophilius;⭐;14/12/2025
HRPT00025;Harry Potter;Qual è il nome della fenice di Silente?;4 risposte;A) Norberto, B) Aragog, @C) Fanny, D) Fierobecco;⭐⭐;14/12/2025
HRPT00026;Harry Potter;Scrivi il nome del castello dove si trova Hogwarts.;Risposta aperta;@Hogwarts;⭐;14/12/2025
HRPT00027;Harry Potter;Chi è il Mangiamorte che uccide Silente?;4 risposte;A) Bellatrix, B) Lucius, @C) Piton, D) Greyback;⭐⭐⭐;14/12/2025
HRPT00028;Harry Potter;I Babbani non hanno poteri magici.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00029;Harry Potter;Qual è il nome del Patronus di Harry?;4 risposte;A) Cane, B) Gatto, @C) Cervo, D) Lupo;⭐⭐;14/12/2025
HRPT00030;Harry Potter;Chi è il preside di Hogwarts nel settimo libro?;4 risposte;A) Silente, B) McGranitt, @C) Piton, D) Carrow;⭐⭐⭐;14/12/2025
HRPT00031;Harry Potter;Chi è il fratello di Albus Silente?;4 risposte;A) Percival, @B) Aberforth, C) Elphias, D) Mundungus;⭐⭐;14/12/2025
HRPT00032;Harry Potter;La Burrobirra è una bevanda alcolica.;Vero/Falso;Falso, @Vero (leggermente alcolica);⭐⭐;14/12/2025
