ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
BRKB00001;Breaking Bad;Chi è il protagonista della serie?;4 risposte;###A) Walter White, B) Jesse Pinkman, C) Hank Schrader, D) Saul Goodman;⭐⭐;14/12/2025
BRKB00002;Breaking Bad;In quale città è ambientata principalmente la serie?;4 risposte;A) Santa Fe, ###B) Albuquerque, C) El Paso, D) Phoenix;⭐;14/12/2025
BRKB00003;Breaking Bad;Jesse Pinkman è un ex studente di Walter White.;Vero/Falso;Vero, ###Falso;⭐⭐;14/12/2025
BRKB00004;Breaking Bad;Qual è la professione iniziale di Walter White?;4 risposte;A) Avvocato, B) Medico, ###C) Insegnante di chimica, D) Poliziotto;⭐;14/12/2025
BRKB00005;Breaking Bad;Scrivi il nome del socio di Walter che è anche suo ex studente.;Risposta aperta;###Jesse Pinkman;⭐⭐;14/12/2025
BRKB00006;Breaking Bad;Chi interpreta Walter White?;4 risposte;A) Aaron Paul, ###B) Bryan Cranston, C) Bob Odenkirk, D) Dean Norris;⭐⭐;14/12/2025
BRKB00007;Breaking Bad;La serie è stata creata da Vince Gilligan.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BRKB00008;Breaking Bad;Qual è l'alter ego criminale di Walter?;4 risposte;A) Heisenberg, B) Mr. White, C) The Chemist, ###D) Heisenberg;⭐⭐;14/12/2025
BRKB00009;Breaking Bad;Chi è il principale antagonista imprenditoriale nella prima metà della serie?;4 risposte;A) Mike Ehrmantraut, ###B) Gustavo Fring, C) Tuco Salamanca, D) Hank Schrader;⭐⭐⭐;14/12/2025
BRKB00010;Breaking Bad;Scrivi il nome del cognato di Walter che lavora per la DEA.;Risposta aperta;###Hank Schrader;⭐⭐;14/12/2025
BRKB00011;Breaking Bad;Saul Goodman è l'avvocato che aiuta Walter e Jesse.;Vero/Falso;Vero, ###Falso;⭐;14/12/2025
BRKB00012;Breaking Bad;Quale prodotto chimico è simbolo ricorrente nella serie?;4 risposte;A) Acido nitrico, ###B) Metanfetamina blu, C) Eroina, D) Cocaina;⭐⭐;14/12/2025
BRKB00013;Breaking Bad;Chi è il fixer e sicario che lavora per Gus?;4 risposte;A) Todd Alquist, ###B) Mike Ehrmantraut, C) Saul Goodman, D) Hank Schrader;⭐⭐;14/12/2025
BRKB00014;Breaking Bad;Scrivi il nome della fidanzata di Jesse che muore per overdose.;Risposta aperta;###Jane Margolis;⭐⭐;14/12/2025
BRKB00015;Breaking Bad;La metanfetamina prodotta da Walter è famosa per il suo colore blu.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BRKB00016;Breaking Bad;Chi è il creatore dello spin-off "Better Call Saul" insieme a Vince Gilligan?;4 risposte;A) Bryan Cranston, ###B) Peter Gould, C) Aaron Paul, D) Dean Norris;⭐⭐⭐;14/12/2025
BRKB00017;Breaking Bad;Qual è il nome della moglie di Walter?;4 risposte;A) Marie, B) Lydia, ###C) Skyler White, D) Jane;⭐⭐;14/12/2025
BRKB00018;Breaking Bad;Scrivi il nome della figlia di Walter e Skyler.;Risposta aperta;###Holly White;⭐⭐;14/12/2025
BRKB00019;Breaking Bad;Hank Schrader lavora per l'FBI.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BRKB00020;Breaking Bad;Quale attore interpreta Jesse Pinkman?;4 risposte;A) Bob Odenkirk, ###B) Aaron Paul, C) Dean Norris, D) Jonathan Banks;⭐⭐;14/12/2025
BRKB00021;Breaking Bad;Chi è il giovane collaboratore che lavora per Todd e la sua banda?;4 risposte;A) Skinny Pete, ###B) Todd Alquist, C) Badger, D) Combo;⭐⭐;14/12/2025
BRKB00022;Breaking Bad;Scrivi il nome del personaggio che comunica tramite una campana e una sedia a rotelle.;Risposta aperta;###Hector Salamanca;⭐⭐⭐;14/12/2025
BRKB00023;Breaking Bad;Gus Fring gestisce una catena di ristoranti chiamata Los Pollos Hermanos.;Vero/Falso;Vero, ###Falso;⭐⭐;14/12/2025
BRKB00024;Breaking Bad;Quale personaggio è coinvolto nel riciclaggio di denaro tramite un autolavaggio?;4 risposte;A) Saul Goodman, B) Mike Ehrmantraut, ###C) Skyler White, D) Hank Schrader;⭐⭐;14/12/2025
BRKB00025;Breaking Bad;Scrivi il nome del personaggio che diventa capo della banda dopo la morte di Gus.;Risposta aperta;###Todd Alquist (e la sua rete),⭐⭐;14/12/2025
BRKB00026;Breaking Bad;Hank Schrader è un agente della DEA.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BRKB00027;Breaking Bad;Chi pronuncia la frase "I am the one who knocks"?;4 risposte;A) Jesse Pinkman, B) Saul Goodman, ###C) Walter White, D) Hank Schrader;⭐⭐⭐;14/12/2025
BRKB00028;Breaking Bad;Scrivi il nome della sorella di Marie, moglie di Hank.;Risposta aperta;###Skyler White;⭐⭐;14/12/2025
BRKB00029;Breaking Bad;La serie è ambientata nello stato del New Mexico.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BRKB00030;Breaking Bad;Quale personaggio gestisce un laboratorio mobile in un camper?;4 risposte;A) Saul Goodman, ###B) Walter White e Jesse Pinkman, C) Hank Schrader, D) Mike Ehrmantraut;⭐⭐;14/12/2025
BRKB00031;Breaking Bad;Scrivi il nome del creatore principale della serie.;Risposta aperta;###Vince Gilligan;⭐⭐;14/12/2025
BRKB00032;Breaking Bad;Skyler White lavora come contabile per la famiglia White.;Vero/Falso;Vero, ###Falso;⭐⭐;14/12/2025
BRKB00033;Breaking Bad;Quale personaggio è l'avvocato che aiuta a riciclare denaro e consiglia i protagonisti?;4 risposte;A) Mike Ehrmantraut, ###B) Saul Goodman, C) Hank Schrader, D) Gustavo Fring;⭐⭐;14/12/2025
BRKB00034;Breaking Bad;Scrivi il nome del personaggio che gestisce il centro di lavaggio auto usato per riciclare denaro.;Risposta aperta;###Saul Goodman (tramite contatti) o Skyler White coinvolta;⭐⭐⭐;14/12/2025
BRKB00035;Breaking Bad;Il colore ricorrente associato a Skyler è il verde.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BRKB00036;Breaking Bad;Quale personaggio è noto per la sua abilità investigativa nella DEA?;4 risposte;A) Walter White, ###B) Hank Schrader, C) Jesse Pinkman, D) Saul Goodman;⭐⭐;14/12/2025
BRKB00037;Breaking Bad;Scrivi il nome del personaggio che diventa il principale antagonista nella stagione con il ristorante Los Pollos Hermanos.;Risposta aperta;###Gustavo Fring;⭐⭐;14/12/2025
BRKB00038;Breaking Bad;Jane muore per un'overdose accidentale dopo aver inalato il proprio vomito.;Vero/Falso;Vero, ###Falso;⭐⭐;14/12/2025
