ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
BARB00001;Barbie;In che anno è stata lanciata la bambola Barbie per la prima volta?;4 risposte;A) 1955, ###B) 1959, C) 1963, D) 1970;⭐⭐;14/12/2025
BARB00002;Barbie;Chi è la creatrice originale di Barbie?;4 risposte;###A) Ruth Handler, B) Mattel team, C) Elliot Handler, D) Jacqueline Cochran;⭐⭐;14/12/2025
BARB00003;Barbie;La prima Barbie indossava un costume da bagno a righe.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BARB00004;Barbie;Qual è il cognome del fidanzato storico di Barbie?;4 risposte;A) Roberts, B) Smith, ###C) Ken Carson, D) Johnson;⭐;14/12/2025
BARB00005;Barbie;Scrivi il nome della città immaginaria spesso associata a Barbie.;Risposta aperta;###Barbie Land (o Malibu/Barbie Land);⭐⭐;14/12/2025
BARB00006;Barbie;Quale azienda produce Barbie?;4 risposte;A) Hasbro, ###B) Mattel, C) Playmobil, D) Fisher-Price;⭐;14/12/2025
BARB00007;Barbie;Il primo modello di Barbie era ispirato a una bambola tedesca chiamata Bild Lilli.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BARB00008;Barbie;Quale professione non è mai stata ufficialmente rappresentata da Barbie?;4 risposte;A) Astronauta, B) Medico, C) Presidente degli Stati Uniti, ###D) Nessuna delle precedenti (tutte sono state rappresentate);⭐⭐;14/12/2025
BARB00009;Barbie;Chi è la sorella più famosa di Barbie?;4 risposte;A) Skipper, ###B) Skipper, C) Stacie, D) Chelsea;⭐;14/12/2025
BARB00010;Barbie;Quale linea di Barbie è stata lanciata per rappresentare diverse etnie e taglie?;4 risposte;A) Barbie Classic, ###B) Barbie Fashionistas, C) Barbie Collector, D) Barbie Basics;⭐⭐;14/12/2025
BARB00011;Barbie;La prima Barbie aveva capelli biondi.;Vero/Falso;Vero, ###Falso;⭐;14/12/2025
BARB00012;Barbie;Quale designer ha contribuito al guardaroba originale di Barbie?;4 risposte;###A) Charlotte Johnson, B) Don Post, C) Ruth Handler, D) Mattel design team;⭐⭐;14/12/2025
BARB00013;Barbie;Scrivi il nome del fidanzato di Barbie introdotto nel 1961.;Risposta aperta;###Ken;⭐⭐;14/12/2025
BARB00014;Barbie;Quale film live-action su Barbie è uscito nel 2023 con Margot Robbie?;4 risposte;A) Barbie: The Movie, ###B) Barbie, C) Barbie and Ken, D) Barbie: A New Adventure;⭐⭐;14/12/2025
BARB00015;Barbie;Il marchio Barbie è stato spesso criticato per stereotipi di bellezza.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BARB00016;Barbie;Quale linea di Barbie è rivolta ai collezionisti adulti?;4 risposte;A) Fashionistas, B) Basics, ###C) Barbie Collector, D) Playline;⭐⭐;14/12/2025
BARB00017;Barbie;Qual è il nome della bambola sorella più piccola introdotta come "Chelsea" in alcune linee?;4 risposte;A) Kelly, B) Skipper, ###C) Chelsea, D) Stacie;⭐;14/12/2025
BARB00018;Barbie;Scrivi il nome della fondatrice di Mattel che ha ispirato la creazione di Barbie.;Risposta aperta;###Ruth Handler;⭐⭐;14/12/2025
BARB00019;Barbie;Quale accessorio è stato incluso nella confezione della prima Barbie?;4 risposte;A) Auto, ###B) Occhiali da sole e costume da bagno, C) Casa, D) Cavallo;⭐⭐;14/12/2025
BARB00020;Barbie;La linea "Barbie Careers" è stata lanciata per mostrare ruoli professionali.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BARB00021;Barbie;Quale città è spesso associata alla versione "Malibu Barbie"?;4 risposte;A) Miami, ###B) Malibu, C) Los Angeles, D) Santa Monica;⭐;14/12/2025
