ID;Tema;Domanda;Tipologia;Risposta A;Risposta B;Risposta C;Risposta D;Risposta E;Risposta F;Difficoltà;Data creazione
STARW-0001;Star Wars;Qual è il colore della spada laser di Mace Windu?;4 risposte;Verde;Blu;###Viola;Rossa;;;⭐⭐;16/01/2026
STARW-0002;Star Wars;Come si chiama il pianeta desertico dove cresce Luke Skywalker?;4 risposte;Jakku;###Tatooine;Geonosis;Hoth;;;⭐;16/01/2026
STARW-0003;Star Wars;In "Guerre Stellari" (1977), chi distrugge la Morte Nera?;4 risposte;###Luke Skywalker;Han Solo;Wedge Antilles;Biggs Darklighter;;;⭐;16/01/2026
STARW-0004;Star Wars;Chi è il cancelliere supremo della Repubblica che diventa Imperatore?;4 risposte;Valorum;Tarkin;Dooku;###Palpatine;;;⭐⭐;16/01/2026
STARW-0005;Star Wars;Quale specie aliena vive sulle lune boscose di Endor?;4 risposte;###Ewok;Wookiee;Jawa;Gungan;;;⭐;16/01/2026
STARW-0006;Star Wars;Come si chiama la nave spaziale di Han Solo?;Risposta aperta;###Millennium Falcon;;;;;;⭐⭐;16/01/2026
STARW-0007;Star Wars;In "L'Impero colpisce ancora", quale mano viene tagliata a Luke da Darth Vader?;4 risposte;La sinistra;###La destra;Entrambe;Nessuna, perde una gamba;;;⭐⭐⭐;16/01/2026
STARW-0008;Star Wars;Qual è il numero di cella in cui è rinchiusa la Principessa Leia sulla Morte Nera?;4 risposte;1138;327;###2187;501;;;⭐⭐⭐⭐;16/01/2026
STARW-0009;Star Wars;Vero o Falso: Boba Fett cade nel pozzo del Sarlacc in "Il Ritorno dello Jedi".;Vero/Falso;###Vero;Falso;;;;;⭐⭐;16/01/2026
STARW-0010;Star Wars;Completa la frase iconica: "Che la Forza sia...";Frase interrotta a 2 risposte;...sempre potente;###...con te;;;;;⭐;16/01/2026
STARW-0011;Star Wars;Quale attore interpreta Obi-Wan Kenobi nella trilogia prequel?;4 risposte;Alec Guinness;###Ewan McGregor;Liam Neeson;Hayden Christensen;;;⭐⭐;16/01/2026
STARW-0012;Star Wars;Come si chiama il droide protocollare dorato compagno di C1-P8 (R2-D2)?;4 risposte;BB-8;K-2SO;###D-3BO (C-3PO);IG-88;;;⭐;16/01/2026
STARW-0013;Star Wars;Quale maestro Jedi ha addestrato Obi-Wan Kenobi?;4 risposte;###Qui-Gon Jinn;Yoda;Mace Windu;Conte Dooku;;;⭐⭐;16/01/2026
STARW-0014;Star Wars;Di che colore è la pelle di Darth Maul?;4 risposte;Verde e Nera;###Rossa e Nera;Bianca e Nera;Blu e Rossa;;;⭐;16/01/2026
STARW-0015;Star Wars;Quale di questi cacciatori di taglie viene incaricato da Darth Vader di trovare il Millennium Falcon?;6 risposte;Greedo;Jango Fett;###IG-88;Cad Bane;Aurra Sing;Embo;⭐⭐⭐;16/01/2026
