ID;Tema;Domanda;Tipologia;Risposta A;Risposta B;Risposta C;Risposta D;Risposta E;Risposta F;Difficoltà;Data-Creazione
ALIEN-0001;Alien;Qual è il nome della nave spaziale nel primo film della serie Alien?;4 risposte;###Nostromo;Sulaco;Prometheus;Covenant;;;;⭐;16/01/2026
ALIEN-0002;Alien;Chi è il capitano della Nostromo nel film Alien?;4 risposte;Dallas;Ripley;Ash;Parker;;;;⭐⭐;16/01/2026
ALIEN-0003;Alien;Quale personaggio viene attaccato per primo dall'Alien nella Nostromo?;4 risposte;Kane;Brett;Parker;Ash;;;;⭐;16/01/2026
ALIEN-0004;Alien;Come si chiama la società che possiede la Nostromo?;4 risposte;Weyland-Yutani;Tyrell Corporation;Umbrella Corporation;Cyberdyne Systems;;;;⭐⭐;16/01/2026
ALIEN-0005;Alien;Vero o Falso: L'Alien è originariamente chiamato "Xenomorfo" nel primo film.;Vero/Falso;Falso;Vero;;;;;;⭐;16/01/2026
ALIEN-0006;Alien;Quale membro dell'equipaggio della Nostromo è in realtà un androide?;4 risposte;Ash;Lambert;Brett;Parker;;;;⭐⭐;16/01/2026
ALIEN-0007;Alien;Dove viene trovato l'Alien sul pianeta LV-426?;4 risposte;###In una nave aliena derelitta;In una base militare;In una colonia umana;In un laboratorio segreto;;;;⭐;16/01/2026
ALIEN-0008;Alien;Qual è il vero nome di Sigourney Weaver nel ruolo della protagonista?;4 risposte;Ellen Ripley;Katherine Ripley;Sarah Ripley;Marion Ripley;;;;⭐;16/01/2026
ALIEN-0009;Alien;Chi ha diretto il primo film Alien del 1979?;4 risposte;###Ridley Scott;James Cameron;David Fincher;Jean-Pierre Jeunet;;;;⭐⭐;16/01/2026
ALIEN-0010;Alien;Come muore Ash nell'originale Alien?;4 risposte;###Viene smembrato da Parker e Ripley;Viene decapitato dall'Alien;Si sacrifica per salvare l'equipaggio;Viene espulso nello spazio;;;;⭐⭐;16/01/2026
ALIEN-0011;Alien;Quale film della serie vede Ripley clonata?;4 risposte;###Alien: La clonazione;Aliens - Scontro finale;Alien³;Alien - La riscossa;;;;⭐⭐;16/01/2026
ALIEN-0012;Alien;Vero o Falso: Nel film Alien³, Ripley si trova su un pianeta-prigione.;Vero/Falso;###Vero;Falso;;;;;;⭐;16/01/2026
ALIEN-0013;Alien;Chi interpreta la parte di Dwayne Hicks in Aliens - Scontro finale?;4 risposte;Michael Biehn;Lance Henriksen;Bill Paxton;Paul Reiser;;;;⭐⭐;16/01/2026
ALIEN-0014;Alien;Come si chiama la colonia umana su LV-426 in Aliens - Scontro finale?;4 risposte;Haven;###Acheron;Calypso;New Shanghai;;;;⭐⭐;16/01/2026
