ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CIN20101;Cinema 2010-2026;Quale film ha vinto l'Oscar come Miglior Film per l'anno 2010 (cerimonia 2011)?;4 risposte;###A) Il discorso del re, B) The Social Network, C) Inception, D) Il gladiatore;⭐⭐⭐;16/01/2026
CIN20102;Cinema 2010-2026;Chi ha diretto "Inception" (2010)?;4 risposte;A) David Fincher, ###B) Christopher Nolan, C) Ridley Scott, D) Denis Villeneuve;⭐⭐⭐;16/01/2026
CIN20103;Cinema 2010-2026;Quale film del 2014 è diretto da Alejandro González Iñárritu e racconta la sopravvivenza in ambienti ostili?;4 risposte;A) Birdman, B) Revenant, ###C) Revenant - Redivivo, D) The Revenant;⭐⭐⭐;16/01/2026
CIN20104;Cinema 2010-2026;La versione italiana del film "La La Land" è uscita nel 2016.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN20105;Cinema 2010-2026;Scrivi il nome del regista di "Blade Runner 2049".;Risposta aperta;###Denis Villeneuve;⭐⭐⭐;16/01/2026
CIN20106;Cinema 2010-2026;Quale film del 2013 ha rilanciato la saga di Godzilla sul grande schermo?;4 risposte;A) Godzilla (2014), ###B) Godzilla, C) King of the Monsters, D) Godzilla vs Kong;⭐⭐;16/01/2026
CIN20107;Cinema 2010-2026;Il film "Parasite" (2019) ha vinto l'Oscar come Miglior Film.;Vero/Falso;###Vero, Falso;⭐⭐⭐;16/01/2026
CIN20108;Cinema 2010-2026;Chi ha diretto "The Social Network" (2010)?;4 risposte;A) Aaron Sorkin, ###B) David Fincher, C) Christopher Nolan, D) Steven Soderbergh;⭐⭐;16/01/2026
CIN20109;Cinema 2010-2026;Quale film del 2012 è diretto da Quentin Tarantino e ambientato durante la Seconda Guerra Mondiale?;4 risposte;A) Django Unchained, ###B) Bastardi senza gloria, C) Inglourious Basterds, D) Pulp Fiction;⭐⭐;16/01/2026
CIN20110;Cinema 2010-2026;Scrivi il nome dell'attore che interpreta il protagonista in "Il discorso del re".;Risposta aperta;###Colin Firth;⭐⭐;16/01/2026
CIN20111;Cinema 2010-2026;La pellicola "Mad Max: Fury Road" è uscita nel 2015.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN20112;Cinema 2010-2026;Quale regista ha diretto "Mad Max: Fury Road"?;4 risposte;A) George Miller, ###B) George Miller, C) Peter Weir, D) David Lynch;⭐⭐;16/01/2026
