ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
AVTR00001;Avatar;Chi ha diretto il film "Avatar" (2009)?;4 risposte;A) Steven Spielberg, B) Peter Jackson, @C) James Cameron, D) Ridley Scott;⭐⭐;14/12/2025
AVTR00002;Avatar;In che anno è uscito il primo film "Avatar"?;4 risposte;A) 2005, @B) 2009, C) 2012, D) 2015;⭐⭐;14/12/2025
AVTR00003;Avatar;Qual è il nome del pianeta dove si svolge la storia?;4 risposte;A) Pandora, B) LV-426, @C) Pandora, D) Arrakis;⭐;14/12/2025
AVTR00004;Avatar;Il protagonista umano che diventa Na'vi si chiama Jake Sully.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
AVTR00005;Avatar;Scrivi il nome della protagonista Na'vi che guida Jake.;Risposta aperta;@Neytiri;⭐⭐;14/12/2025
AVTR00006;Avatar;Quale corporazione è responsabile delle operazioni su Pandora?;4 risposte;A) Tyrell Corporation, @B) RDA (Resources Development Administration), C) Weyland-Yutani, D) OmniCorp;⭐⭐;14/12/2025
AVTR00007;Avatar;Chi interpreta Jake Sully nel film?;4 risposte;A) Sam Worthington, B) Matt Damon, @C) Sam Worthington, D) Chris Pratt;⭐⭐;14/12/2025
AVTR00008;Avatar;La lingua Na'vi è stata creata appositamente per il film.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
AVTR00009;Avatar;Chi ha creato la lingua Na'vi?;4 risposte;A) J.R.R. Tolkien, @B) Paul Frommer, C) Marc Okrand, D) David J. Peterson;⭐⭐⭐;14/12/2025
AVTR00010;Avatar;Qual è il nome dell'albero sacro dei Na'vi?;4 risposte;A) Albero della Vita, B) Albero del Mondo, @C) Albero delle Anime (Tree of Souls), D) Albero di Eywa;⭐⭐;14/12/2025
AVTR00011;Avatar;Il compositore della colonna sonora del primo film è James Horner.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
AVTR00012;Avatar;Chi interpreta la dottoressa Grace Augustine?;4 risposte;A) Zoe Saldana, B) Michelle Rodriguez, @C) Sigourney Weaver, D) Kate Winslet;⭐⭐;14/12/2025
AVTR00013;Avatar;Scrivi il nome del comandante militare antagonista nel primo film.;Risposta aperta;@Colonel Miles Quaritch;⭐⭐;14/12/2025
AVTR00014;Avatar;Quale tecnica è stata ampiamente usata per catturare le performance degli attori?;4 risposte;A) Stop motion, B) Animazione tradizionale, @C) Motion capture, D) Rotoscoping;⭐⭐;14/12/2025
AVTR00015;Avatar;Il Toruk è una creatura volante leggendaria tra i Na'vi.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
AVTR00016;Avatar;Quale studio ha curato gran parte degli effetti visivi del primo film?;4 risposte;A) Industrial Light & Magic, @B) Weta Digital, C) Pixar, D) DreamWorks Animation;⭐⭐⭐;14/12/2025
AVTR00017;Avatar;Scrivi il nome del regista che ha diretto anche "Titanic".;Risposta aperta;@James Cameron;⭐⭐;14/12/2025
AVTR00018;Avatar;Il primo "Avatar" è stato distribuito in 3D su larga scala.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
