ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CART90001;Cartoni '90-'00;In quale anno è andato in onda per la prima volta "Pokémon" in Giappone?;4 risposte;A) 1995, B) 1996, ###C) 1997, D) 1999;⭐⭐;16/01/2026
CART90002;Cartoni '90-'00;Chi è il creatore di "Dexter's Laboratory"?;4 risposte;A) Craig McCracken, ###B) Genndy Tartakovsky, C) Pendleton Ward, D) Butch Hartman;⭐⭐;16/01/2026
CART90003;Cartoni '90-'00;"The Powerpuff Girls" è andato in onda per la prima volta negli anni '90.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90004;Cartoni '90-'00;Qual è il nome del protagonista di "Sailor Moon"?;4 risposte;A) Rei Hino, B) Minako Aino, ###C) Usagi Tsukino, D) Ami Mizuno;⭐⭐;16/01/2026
CART90005;Cartoni '90-'00;Scrivi il nome del protagonista di "Cowboy Bebop".;Risposta aperta;###Spike Spiegel;⭐⭐⭐;16/01/2026
CART90006;Cartoni '90-'00;Quale serie ha lanciato il personaggio di "Ash Ketchum"?;4 risposte;A) Digimon, B) Yu-Gi-Oh!, ###C) Pokémon, D) Beyblade;⭐⭐;16/01/2026
CART90007;Cartoni '90-'00;La serie "Animaniacs" è prodotta da Steven Spielberg.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90008;Cartoni '90-'00;Chi ha creato "Rugrats"?;4 risposte;A) Craig Bartlett, ###B) Arlene Klasky, Gábor Csupó e Paul Germain, C) Butch Hartman, D) John Kricfalusi;⭐⭐;16/01/2026
CART90009;Cartoni '90-'00;Quale serie presenta il personaggio "Tommy Pickles"?;4 risposte;A) Hey Arnold!, B) Rocket Power, ###C) Rugrats, D) Doug;⭐;16/01/2026
CART90010;Cartoni '90-'00;Scrivi il nome del creatore di "South Park".;Risposta aperta;###Trey Parker (e Matt Stone);⭐⭐⭐;16/01/2026
CART90011;Cartoni '90-'00;"Dragon Ball Z" ha continuato la popolarità di Dragon Ball negli anni '90.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90012;Cartoni '90-'00;Quale serie ha come protagonista un ragazzo con un orologio che lo trasforma in alieni?;4 risposte;A) Ben 10, B) Digimon, ###C) (questa domanda non è pertinente agli anni '90), D) Pokemon;⭐⭐⭐;16/01/2026
CART90013;Cartoni '90-'00;Scrivi il nome del protagonista di "The Simpsons".;Risposta aperta;###Homer Simpson;⭐;16/01/2026
CART90014;Cartoni '90-'00;Quale serie animata ha introdotto il personaggio "Timmy Turner"?;4 risposte;A) The Fairly OddParents, B) Rugrats, C) Hey Arnold!, ###D) The Fairly OddParents;⭐⭐;16/01/2026
CART90015;Cartoni '90-'00;La serie "Neon Genesis Evangelion" è uscita negli anni '90.;Vero/Falso;###Vero, Falso;⭐⭐⭐;16/01/2026
CART90016;Cartoni '90-'00;Chi è il creatore di "Batman: The Animated Series"?;4 risposte;A) Bruce Timm, ###B) Bruce Timm (tra i principali creativi), C) Genndy Tartakovsky, D) Paul Dini;⭐⭐;16/01/2026
CART90017;Cartoni '90-'00;Scrivi il nome del protagonista di "Dragon Ball Z".;Risposta aperta;###Goku;⭐⭐;16/01/2026
CART90018;Cartoni '90-'00;Quale serie ha come protagonista un ragazzo che trova mostri digitali chiamati Digimon?;4 risposte;A) Pokémon, ###B) Digimon, C) Yu-Gi-Oh!, D) Beyblade;⭐⭐;16/01/2026
CART90019;Cartoni '90-'00;La serie "Johnny Bravo" è andata in onda su Cartoon Network negli anni '90.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90020;Cartoni '90-'00;Quale serie presenta il personaggio "Doug Funnie"?;4 risposte;A) Hey Arnold!, B) Rugrats, C) Rocko's Modern Life, ###D) Doug;⭐⭐;16/01/2026
CART90021;Cartoni '90-'00;Scrivi il nome del creatore di "Cowboy Bebop".;Risposta aperta;###Shinichirō Watanabe;⭐⭐⭐;16/01/2026
CART90022;Cartoni '90-'00;Quale serie ha come protagonista un ragazzo che gioca con carte e duelli?;4 risposte;A) Pokémon, B) Digimon, ###C) Yu-Gi-Oh!, D) Cardcaptor Sakura;⭐⭐;16/01/2026
CART90023;Cartoni '90-'00;La serie "Futurama" è stata creata da Matt Groening.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90024;Cartoni '90-'00;Quale serie presenta il personaggio "Bubbles" tra le Powerpuff Girls?;4 risposte;A) Dexter's Laboratory, ###B) The Powerpuff Girls, C) Foster's Home for Imaginary Friends, D) Ed, Edd n Eddy;⭐⭐;16/01/2026
CART90025;Cartoni '90-'00;Scrivi il nome del protagonista di "Sailor Moon" nella versione italiana.;Risposta aperta;###Usagi (o Serena in italiano);⭐⭐;16/01/2026
CART90026;Cartoni '90-'00;Quale serie ha come protagonista un gruppo di ragazzi che combattono mostri con carte?;4 risposte;A) Pokémon, B) Digimon, C) Beyblade, ###D) Yu-Gi-Oh!;⭐⭐;16/01/2026
CART90027;Cartoni '90-'00;La serie "Animaniacs" include i personaggi Yakko, Wakko e Dot.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90028;Cartoni '90-'00;Quale serie presenta il personaggio "Arnold" che vive in una città chiamata Hillwood?;4 risposte;A) Rugrats, ###B) Hey Arnold!, C) Rocko's Modern Life, D) Doug;⭐⭐;16/01/2026
CART90029;Cartoni '90-'00;Scrivi il nome del creatore di "The Powerpuff Girls".;Risposta aperta;###Craig McCracken;⭐⭐;16/01/2026
CART90030;Cartoni '90-'00;Quale serie è famosa per il personaggio "Pinky and the Brain"?;4 risposte;A) Animaniacs, ###B) Animaniacs (spin-off), C) Tiny Toon Adventures, D) The Simpsons;⭐⭐;16/01/2026
CART90031;Cartoni '90-'00;La serie "Ed, Edd n Eddy" è andata in onda alla fine degli anni '90.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90032;Cartoni '90-'00;Quale serie presenta un ragazzo chiamato "Ash" e il suo Pikachu?;4 risposte;A) Digimon, B) Yu-Gi-Oh!, ###C) Pokémon, D) Beyblade;⭐⭐;16/01/2026
