ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CIN70001;Cinema '70;Quale film del 1972 è diretto da Francis Ford Coppola e racconta la storia della famiglia Corleone?;4 risposte;###A) Il padrino, B) Quei bravi ragazzi, C) Il padrino - Parte II, D) Mean Streets;⭐⭐⭐;16/01/2026
CIN70002;Cinema '70;Chi ha diretto "Arancia meccanica" (1971)?;4 risposte;A) Stanley Kubrick, ###B) Stanley Kubrick, C) Alfred Hitchcock, D) Roman Polanski;⭐⭐;16/01/2026
CIN70003;Cinema '70;"Lo squalo" (1975) è un film di Steven Spielberg.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN70004;Cinema '70;Quale film del 1976 è diretto da Martin Scorsese e ha come protagonista Travis Bickle?;4 risposte;A) Mean Streets, B) Toro scatenato, ###C) Taxi Driver, D) Goodfellas;⭐⭐⭐;16/01/2026
CIN70005;Cinema '70;Scrivi il nome del regista di "Il padrino - Parte II".;Risposta aperta;###Francis Ford Coppola;⭐⭐⭐;16/01/2026
CIN70006;Cinema '70;Quale film del 1975 è famoso per la scena dello squalo e per la colonna sonora di John Williams?;4 risposte;A) Arancia meccanica, B) Lo squalo 2, C) Il ritorno del re, ###D) Lo squalo;⭐⭐;16/01/2026
CIN70007;Cinema '70;"Il padrino - Parte II" ha vinto l'Oscar come Miglior Film.;Vero/Falso;Vero, ###Falso;⭐⭐;16/01/2026
CIN70008;Cinema '70;Quale regista ha diretto "One Flew Over the Cuckoo's Nest" (1975)?;4 risposte;A) Miloš Forman, B) Sidney Lumet, ###C) Miloš Forman, D) Robert Altman;⭐⭐;16/01/2026
CIN70009;Cinema '70;Quale film del 1977 ha rivoluzionato il cinema di fantascienza ed è diretto da George Lucas?;4 risposte;A) Incontri ravvicinati del terzo tipo, B) Alien, ###C) Guerre stellari, D) Blade Runner;⭐⭐⭐;16/01/2026
CIN70010;Cinema '70;Scrivi il nome dell'attore che interpreta Vito Corleone ne "Il padrino".;Risposta aperta;###Marlon Brando;⭐⭐;16/01/2026
CIN70011;Cinema '70;"Il padrino" è tratto da un romanzo di Mario Puzo.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN70012;Cinema '70;Quale film del 1971 è tratto dal romanzo di Anthony Burgess e diretto da Kubrick?;4 risposte;A) Arancia meccanica, B) Il padrino, C) Lo squalo, ###D) Arancia meccanica;⭐⭐;16/01/2026
CIN70013;Cinema '70;Quale regista ha diretto "Barry Lyndon" (1975)?;4 risposte;A) Federico Fellini, B) Ingmar Bergman, ###C) Stanley Kubrick, D) Francis Ford Coppola;⭐⭐⭐;16/01/2026
CIN70014;Cinema '70;Quale film del 1973 è diretto da George Lucas e racconta la storia di un giovane pilota di corse?;4 risposte;A) American Graffiti, ###B) American Graffiti, C) Guerre stellari, D) THX 1138;⭐⭐;16/01/2026
CIN70015;Cinema '70;"Taxi Driver" è interpretato da Robert De Niro.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN70016;Cinema '70;Chi ha diretto "Il cacciatore" (1978)?;4 risposte;A) Michael Cimino, ###B) Michael Cimino, C) Francis Ford Coppola, D) Martin Scorsese;⭐⭐⭐;16/01/2026
CIN70017;Cinema '70;Quale film del 1979 è diretto da Ridley Scott e ha come ambientazione un futuro distopico?;4 risposte;A) Alien, B) Blade Runner, ###C) Alien, D) The Shining;⭐⭐;16/01/2026
CIN70018;Cinema '70;Scrivi il nome dell'attore che interpreta Travis Bickle in "Taxi Driver".;Risposta aperta;###Robert De Niro;⭐⭐;16/01/2026
CIN70019;Cinema '70;"Lo squalo" è considerato il primo blockbuster estivo moderno.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN70020;Cinema '70;Quale regista ha diretto "Il cacciatore" (1978) che esplora le conseguenze della guerra del Vietnam?;4 risposte;A) Francis Ford Coppola, ###B) Michael Cimino, C) Oliver Stone, D) Stanley Kubrick;⭐⭐;16/01/2026
CIN70021;Cinema '70;Quale film del 1974 ha come protagonista un pugile interpretato da Robert De Niro?;4 risposte;A) Toro scatenato, B) Rocky, C) Raging Bull, ###D) Toro scatenato;⭐⭐⭐;16/01/2026
CIN70022;Cinema '70;Chi ha diretto "Rocky" (1976)?;4 risposte;A) John G. Avildsen, ###B) John G. Avildsen, C) Martin Scorsese, D) Michael Cimino;⭐⭐;16/01/2026
CIN70023;Cinema '70;"Arancia meccanica" è ambientato in un futuro distopico e contiene scene di violenza stilizzata.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN70024;Cinema '70;Quale film del 1976 ha come protagonista un pugile interpretato da Sylvester Stallone?;4 risposte;A) Rocky, B) Toro scatenato, C) Rambo, ###D) Rocky;⭐⭐;16/01/2026
CIN70025;Cinema '70;Scrivi il nome del regista di "Lo squalo".;Risposta aperta;###Steven Spielberg;⭐⭐;16/01/2026
CIN70026;Cinema '70;Quale film del 1979 è diretto da Stanley Kubrick e basato su un romanzo di Stephen King?;4 risposte;A) Shining, B) Arancia meccanica, ###C) Shining, D) Il cacciatore;⭐⭐⭐;16/01/2026
CIN70027;Cinema '70;"Il padrino - Parte II" è uscito dopo il 1972.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN70028;Cinema '70;Quale film del 1971 è diretto da William Friedkin e noto per la sua atmosfera inquietante?;4 risposte;A) L'esorcista, B) Il padrino, ###C) L'esorcista, D) Il cacciatore;⭐⭐⭐;16/01/2026
CIN70029;Cinema '70;Quale regista ha diretto "Il padrino - Parte II"?;4 risposte;A) Martin Scorsese, B) Sergio Leone, ###C) Francis Ford Coppola, D) Francis Ford Coppola (co-regista non applicabile);⭐⭐;16/01/2026
CIN70030;Cinema '70;Scrivi il nome dell'attrice che interpreta la protagonista in "Alice non abita più qui" (1974) diretta da Martin Scorsese.;Risposta aperta;###Ellen Burstyn;⭐⭐;16/01/2026
CIN70031;Cinema '70;"Shining" è tratto da un romanzo di Stephen King.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN70032;Cinema '70;Quale film del 1973 è diretto da Roman Polanski e racconta la storia di un uomo accusato di omicidio?;4 risposte;A) Rosemary's Baby, B) Chinatown, ###C) Chinatown, D) Tess;⭐⭐;16/01/2026
CIN70033;Cinema '70;Quale regista ha diretto "Chinatown" (1974)?;4 risposte;A) Roman Polanski, ###B) Roman Polanski, C) Francis Ford Coppola, D) Robert Altman;⭐⭐;16/01/2026
CIN70034;Cinema '70;"Rocky" ha vinto l'Oscar come Miglior Film nel 1977.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN70035;Cinema '70;Quale film del 1972 è noto per la frase "I'm gonna make him an offer he can't refuse" nella versione originale?;4 risposte;A) Il padrino, B) Arancia meccanica, C) Lo squalo, ###D) Il padrino;⭐⭐;16/01/2026
CIN70036;Cinema '70;Quale regista ha diretto "L'esorcista" (1973)?;4 risposte;A) William Friedkin, B) Tobe Hooper, C) Roman Polanski, ###D) William Friedkin;⭐⭐;16/01/2026
CIN70037;Cinema '70;Scrivi il nome dell'attore protagonista di "Shining".;Risposta aperta;###Jack Nicholson;⭐⭐;16/01/2026
CIN70038;Cinema '70;"Chinatown" è ambientato a Los Angeles e diretto da Roman Polanski.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN70039;Cinema '70;Quale film del 1978 è diretto da George Lucas e fa parte della saga di Star Wars?;4 risposte;A) Guerre stellari - Episodio IV, B) L'Impero colpisce ancora, ###C) Nessuno (Episodio IV è 1977), D) Il ritorno dello Jedi;⭐⭐;16/01/2026
CIN70040;Cinema '70;Quale regista ha diretto "Il cacciatore"?;4 risposte;A) Michael Cimino, B) Francis Ford Coppola, C) Martin Scorsese, ###D) Michael Cimino;⭐⭐;16/01/2026
CIN70041;Cinema '70;"Il padrino" e "Il padrino - Parte II" sono entrambi diretti da Francis Ford Coppola.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN70042;Cinema '70;Quale film del 1977 ha come protagonista Luke Skywalker?;4 risposte;A) Guerre stellari, B) L'Impero colpisce ancora, C) Il ritorno dello Jedi, ###D) Guerre stellari;⭐⭐;16/01/2026
CIN70043;Cinema '70;Scrivi il nome del regista di "Shining".;Risposta aperta;###Stanley Kubrick;⭐⭐;16/01/2026
CIN70044;Cinema '70;"L'esorcista" è considerato uno dei film horror più influenti degli anni '70.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
