Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
1;Il Trono di Spade;Chi è il Re del Nord all'inizio della serie?;4 risposte;A) Jon Snow, __B) Robb Stark__, C) Ned Stark, D) Stannis Baratheon;⭐;14/12/2025
2;Il Trono di Spade;Qual è la capitale dei Sette Regni?;4 risposte;A) Grande Inverno, __B) Approdo del Re__, C) Alto Giardino, D) Roccia del Drago;⭐;14/12/2025
3;Il Trono di Spade;I draghi di Daenerys sono tre.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
4;Il Trono di Spade;Chi è il padre di Jon Snow?;4 risposte;A) Ned Stark, B) Robert Baratheon, __C) Rhaegar Targaryen__, D) Tywin Lannister;⭐⭐⭐;14/12/2025
5;Il Trono di Spade;Scrivi il nome del metalupo di Jon Snow.;Risposta aperta;__Spettro__;⭐⭐;14/12/2025
6;Il Trono di Spade;Chi uccide Joffrey Baratheon?;4 risposte;A) Tyrion, B) Cersei, __C) Olenna Tyrell__, D) Sansa;⭐⭐⭐;14/12/2025
7;Il Trono di Spade;I Guardiani della Notte vestono di nero.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
8;Il Trono di Spade;Qual è il motto della Casa Stark?;4 risposte;A) Noi non seminiamo, B) Udite il mio ruggito, __C) L'inverno sta arrivando__, D) Fuoco e sangue;⭐⭐;14/12/2025
9;Il Trono di Spade;Chi è la Madre dei Draghi?;4 risposte;A) Cersei, __B) Daenerys__, C) Ygritte, D) Melisandre;⭐;14/12/2025
10;Il Trono di Spade;Qual è il nome del continente principale?;4 risposte;A) Essos, __B) Westeros__, C) Sothoryos, D) Valyria;⭐;14/12/2025
11;Il Trono di Spade;Chi è il più giovane dei fratelli Stark?;4 risposte;A) Bran, __B) Rickon__, C) Jon, D) Robb;⭐⭐;14/12/2025
12;Il Trono di Spade;Qual è il motto della Casa Lannister?;4 risposte;A) Noi non seminiamo, __B) Udite il mio ruggito__, C) L'inverno sta arrivando, D) Crescere forti;⭐⭐;14/12/2025
13;Il Trono di Spade;I Non Morti sono guidati dal Re della Notte.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
14;Il Trono di Spade;Chi addestra Arya a Braavos?;4 risposte;A) Melisandre, __B) Jaqen H'ghar__, C) Syrio Forel, D) Il Mastino;⭐⭐⭐;14/12/2025
15;Il Trono di Spade;Qual è il nome del drago più grande di Daenerys?;4 risposte;A) Viserion, B) Rhaegal, __C) Drogon__, D) Balerion;⭐⭐;14/12/2025
16;Il Trono di Spade;Scrivi il nome del fratello di Daenerys.;Risposta aperta;__Viserys__;⭐⭐;14/12/2025
17;Il Trono di Spade;Chi è il padre di Tyrion Lannister?;4 risposte;A) Jaime, __B) Tywin__, C) Kevan, D) Robert;⭐⭐;14/12/2025
18;Il Trono di Spade;I Dothraki cavalcano senza sella.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
