ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
AOTN00001;Attack on Titan;Chi è il protagonista principale della serie?;4 risposte;A) Armin, B) Levi, @C) Eren Yeager, D) Erwin;⭐;14/12/2025
AOTN00002;Attack on Titan;In quale città vive Eren all'inizio della storia?;4 risposte;A) Mitras, B) Shiganshina, @C) Distretto di Shiganshina, D) Trost;⭐;14/12/2025
AOTN00003;Attack on Titan;I Titani mangiano gli umani per nutrirsi.;Vero/Falso;Falso, @Vero (non per nutrirsi ma per istinto);⭐⭐;14/12/2025
AOTN00004;Attack on Titan;Chi è l'autore del manga?;4 risposte;A) Togashi, @B) Hajime Isayama, C) Miura, D) Araki;⭐;14/12/2025
AOTN00005;Attack on Titan;Scrivi il nome della madre di Eren.;Risposta aperta;@Carla Yeager;⭐⭐;14/12/2025
AOTN00006;Attack on Titan;Chi è il comandante del Corpo di Ricerca nella prima stagione?;4 risposte;A) Levi, @B) Erwin Smith, C) Hange Zoe, D) Nile Dok;⭐⭐;14/12/2025
AOTN00007;Attack on Titan;Il Titano Colossale appare nel primo episodio.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
AOTN00008;Attack on Titan;Chi è il miglior amico di Eren?;4 risposte;A) Levi, @B) Armin Arlert, C) Jean, D) Connie;⭐;14/12/2025
AOTN00009;Attack on Titan;Qual è il nome della sorella adottiva di Eren?;4 risposte;A) Sasha, B) Annie, @C) Mikasa Ackerman, D) Ymir;⭐;14/12/2025
AOTN00010;Attack on Titan;Chi è il comandante della Gendarmeria?;4 risposte;A) Erwin, B) Levi, @C) Nile Dok, D) Pixis;⭐⭐;14/12/2025
AOTN00011;Attack on Titan;Il Titano Corazzato è noto per la sua resistenza.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
AOTN00012;Attack on Titan;Chi è il portatore del Titano Corazzato?;4 risposte;A) Eren, B) Levi, @C) Reiner Braun, D) Jean;⭐⭐;14/12/2025
AOTN00013;Attack on Titan;In quale corpo militare si arruola Eren?;4 risposte;A) Gendarmeria, B) Guarnigione, @C) Corpo di Ricerca, D) Polizia Militare;⭐;14/12/2025
AOTN00014;Attack on Titan;Chi è il comandante della Guarnigione?;4 risposte;A) Erwin, @B) Dot Pixis, C) Levi, D) Nile;⭐⭐;14/12/2025
AOTN00015;Attack on Titan;Scrivi il nome del Titano di cui Eren diventa portatore.;Risposta aperta;@Titano d’Attacco;⭐⭐;14/12/2025
AOTN00016;Attack on Titan;Chi è il portatore del Titano Femmina?;4 risposte;A) Mikasa, B) Ymir, @C) Annie Leonhart, D) Sasha;⭐⭐;14/12/2025
AOTN00017;Attack on Titan;Il Titano Bestia è in grado di parlare.;Vero/Falso;@Vero, Falso;⭐⭐⭐;14/12/2025
AOTN00018;Attack on Titan;Chi è il portatore del Titano Bestia?;4 risposte;A) Reiner, @B) Zeke Yeager, C) Levi, D) Jean;⭐⭐⭐;14/12/2025
AOTN00019;Attack on Titan;Qual è il nome del distretto attaccato nel primo episodio?;4 risposte;A) Mitras, @B) Shiganshina, C) Trost, D) Karanes;⭐;14/12/2025
AOTN00020;Attack on Titan;Chi è il capo della Squadra Operativa Speciale?;4 risposte;A) Erwin, @B) Levi Ackerman, C) Hange, D) Jean;⭐⭐;14/12/2025
AOTN00021;Attack on Titan;Il gas delle attrezzature ODM serve per muoversi rapidamente.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
AOTN00022;Attack on Titan;Chi è il portatore del Titano Colossale?;4 risposte;A) Reiner, B) Annie, @C) Bertholdt Hoover, D) Jean;⭐⭐;14/12/2025
AOTN00023;Attack on Titan;Qual è il nome della città centrale all’interno delle mura?;4 risposte;A) Trost, B) Shiganshina, @C) Mitras, D) Karanes;⭐⭐;14/12/2025
AOTN00024;Attack on Titan;Chi è il comandante del Corpo di Ricerca dopo Erwin?;4 risposte;A) Levi, @B) Hange Zoe, C) Jean, D) Armin;⭐⭐;14/12/2025
AOTN00025;Attack on Titan;Scrivi il nome del Titano controllato da Zeke.;Risposta aperta;@Titano Bestia;⭐⭐;14/12/2025
AOTN00026;Attack on Titan;Chi è il portatore del Titano Mascella (Jaw Titan)?;4 risposte;A) Reiner, B) Annie, @C) Ymir, D) Sasha;⭐⭐;14/12/2025
