Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
1;Signore degli Anelli;Chi è l’autore de “Il Signore degli Anelli”?;4 risposte;A) C.S. Lewis, __B) J.R.R. Tolkien__, C) George R.R. Martin, D) Ursula Le Guin;⭐;14/12/2025
2;Signore degli Anelli;Come si chiama la terra dove si svolge la storia?;4 risposte;A) Westeros, B) Narnia, __C) Terra di Mezzo__, D) Essos;⭐;14/12/2025
3;Signore degli Anelli;Gli Hobbit sono alti come gli uomini.;Vero/Falso;__Falso__, Vero;⭐;14/12/2025
4;Signore degli Anelli;Chi è il portatore dell’Anello?;4 risposte;A) Sam, __B) Frodo__, C) Merry, D) Bilbo;⭐;14/12/2025
5;Signore degli Anelli;Scrivi il nome del mago grigio.;Risposta aperta;__Gandalf__;⭐⭐;14/12/2025
6;Signore degli Anelli;Chi forgiò l’Unico Anello?;4 risposte;A) Elrond, B) Celebrimbor, __C) Sauron__, D) Saruman;⭐⭐;14/12/2025
7;Signore degli Anelli;Gli Elfi sono immortali.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
8;Signore degli Anelli;Come si chiama la spada di Aragorn?;4 risposte;A) Glamdring, B) Sting, __C) Andúril__, D) Orcrist;⭐⭐;14/12/2025
9;Signore degli Anelli;Chi è il re di Rohan?;4 risposte;A) Denethor, __B) Théoden__, C) Boromir, D) Faramir;⭐⭐;14/12/2025
10;Signore degli Anelli;Qual è la patria degli Hobbit?;4 risposte;A) Gondor, B) Rohan, __C) La Contea__, D) Mordor;⭐;14/12/2025
11;Signore degli Anelli;Chi è il figlio di Denethor?;4 risposte;A) Théodred, __B) Boromir__, C) Aragorn, D) Legolas;⭐⭐;14/12/2025
12;Signore degli Anelli;Come si chiama il regno degli Elfi di Legolas?;4 risposte;A) Lórien, __B) Bosco Atro__, C) Rivendell, D) Lindon;⭐⭐;14/12/2025
13;Signore degli Anelli;Gli Orchi sono creature corrotte.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
14;Signore degli Anelli;Chi guida la Compagnia dell’Anello?;4 risposte;A) Frodo, __B) Gandalf__, C) Aragorn, D) Boromir;⭐⭐;14/12/2025
15;Signore degli Anelli;Quale creatura è Gollum?;4 risposte;A) Nano, B) Elfo, __C) Hobbit corrotto__, D) Uomo;⭐⭐⭐;14/12/2025
16;Signore degli Anelli;Scrivi il nome della montagna dove l’Anello deve essere distrutto.;Risposta aperta;__Monte Fato__;⭐⭐⭐;14/12/2025
17;Signore degli Anelli;Chi è il padre di Aragorn?;4 risposte;A) Boromir, B) Denethor, __C) Arathorn__, D) Elendil;⭐⭐⭐;14/12/2025
