Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
1;Marvel;Chi è il vero nome di Iron Man?;4 risposte;__A) Tony Stark__, B) Steve Rogers, C) Bruce Banner, D) Clint Barton;⭐;14/12/2025
2;Marvel;In quale film compare per la prima volta Black Panther?;4 risposte;A) Avengers: Age of Ultron, __B) Captain America: Civil War__, C) Black Panther, D) Infinity War;⭐⭐;14/12/2025
3;Marvel;Loki è fratello biologico di Thor.;Vero/Falso;__Falso__, Vero;⭐⭐;14/12/2025
4;Marvel;Quale gemma dell’Infinito si trova nel bastone di Loki?;6 risposte;A) Spazio, B) Tempo, __C) Mente__, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
5;Marvel;Scrivi il nome del villaggio natale di Wanda Maximoff.;Risposta aperta;__Sokovia__;⭐⭐⭐⭐;14/12/2025
6;Marvel;Chi è il villain principale di “Avengers: Infinity War”?;4 risposte;A) Ultron, __B) Thanos__, C) Loki, D) Red Skull;⭐⭐;14/12/2025
7;Marvel;Deadpool appartiene originariamente all’universo narrativo della Marvel Comics.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
8;Marvel;Quale personaggio è noto come “Sorcerer Supreme”?;4 risposte;__A) Doctor Strange__, B) Scarlet Witch, C) Ancient One, D) Wong;⭐⭐;14/12/2025
9;Marvel;In quale città vive Peter Parker?;4 risposte;A) Gotham, B) Metropolis, __C) New York__, D) Los Angeles;⭐;14/12/2025
10;Marvel;Quale gemma dell’Infinito è custodita da Vision?;6 risposte;A) Spazio, B) Tempo, __C) Mente__, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
11;Marvel;Chi è il vero nome di Captain America?;4 risposte;__A) Steve Rogers__, B) Tony Stark, C) Bruce Banner, D) Clint Barton;⭐;14/12/2025
12;Marvel;Quale attrice interpreta Natasha Romanoff?;4 risposte;A) Elizabeth Olsen, B) Brie Larson, __C) Scarlett Johansson__, D) Zoe Saldana;⭐⭐;14/12/2025
13;Marvel;Il martello di Thor si chiama Mjolnir.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
14;Marvel;Chi è il villain principale di “Avengers: Age of Ultron”?;4 risposte;A) Loki, __B) Ultron__, C) Thanos, D) Red Skull;⭐⭐;14/12/2025
15;Marvel;Quale gemma dell’Infinito controlla il tempo?;6 risposte;A) Spazio, __B) Tempo__, C) Mente, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
16;Marvel;Scrivi il nome del padre di T’Challa.;Risposta aperta;__T’Chaka__;⭐⭐⭐⭐;14/12/2025
17;Marvel;Chi è il villain principale di “Thor: Ragnarok”?;4 risposte;A) Loki, __B) Hela__, C) Surtur, D) Thanos;⭐⭐⭐;14/12/2025
18;Marvel;Spider-Man è stato creato da Stan Lee e Steve Ditko.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
19;Marvel;Quale personaggio è noto come “Winter Soldier”?;4 risposte;A) Clint Barton, B) Sam Wilson, __C) Bucky Barnes__, D) Nick Fury;⭐⭐;14/12/2025
20;Marvel;In quale film compare per la prima volta Captain Marvel?;4 risposte;A) Avengers: Endgame, __B) Captain Marvel__, C) Infinity War, D) Civil War;⭐⭐;14/12/2025
21;Marvel;Chi è il vero nome di Hulk?;4 risposte;A) Tony Stark, B) Steve Rogers, __C) Bruce Banner__, D) Clint Barton;⭐;14/12/2025
22;Marvel;Quale attrice interpreta Wanda Maximoff?;4 risposte;A) Brie Larson, __B) Elizabeth Olsen__, C) Scarlett Johansson, D) Natalie Portman;⭐⭐;14/12/2025
23;Marvel;Il vibranio è il metallo di cui è fatto lo scudo di Captain America.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
24;Marvel;Chi è il villain principale di “Captain America: The First Avenger”?;4 risposte;A) Loki, B) Ultron, __C) Red Skull__, D) Thanos;⭐⭐;14/12/2025
25;Marvel;Quale gemma dell’Infinito controlla la realtà?;6 risposte;A) Spazio, B) Tempo, C) Mente, __D) Realtà__, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
26;Marvel;Scrivi il nome del fratello di Wanda Maximoff.;Risposta aperta;__Pietro Maximoff__;⭐⭐⭐;14/12/2025
27;Marvel;Chi è il villain principale di “Doctor Strange”?;4 risposte;A) Dormammu, __B) Kaecilius__, C) Loki, D) Thanos;⭐⭐⭐;14/12/2025
28;Marvel;Stan Lee appare in cameo in quasi tutti i film Marvel.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
29;Marvel;Quale personaggio è noto come “Falcon”?;4 risposte;A) Clint Barton, __B) Sam Wilson__, C) Bucky Barnes, D) Nick Fury;⭐⭐;14/12/2025
30;Marvel;In quale film compare per la prima volta Spider-Man nel MCU?;4 risposte;A) Avengers: Age of Ultron, __B) Captain America: Civil War__, C) Spider-Man: Homecoming, D) Infinity War;⭐⭐;14/12/2025
31;Marvel;Chi è il vero nome di Hawkeye?;4 risposte;A) Tony Stark, B) Steve Rogers, C) Bruce Banner, __D) Clint Barton__;⭐;14/12/2025
32;Marvel;Quale attore interpreta Doctor Strange?;4 risposte;A) Tom Holland, B) Chris Hemsworth, __C) Benedict Cumberbatch__, D) Mark Ruffalo;⭐⭐;14/12/2025
33;Marvel;Il Tesseract contiene la Gemma dello Spazio.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
34;Marvel;Chi è il villain principale di “Iron Man”?;4 risposte;A) Loki, __B) Obadiah Stane__, C) Thanos, D) Ultron;⭐⭐;14/12/2025
35;Marvel;Quale gemma dell’Infinito controlla il potere?;6 risposte;A) Spazio, B) Tempo, C) Mente, D) Realtà, __E) Potere__, F) Anima;⭐⭐⭐;14/12/2025
36;Marvel;Scrivi il nome del pianeta natale di Thanos.;Risposta aperta;__Titan__;⭐⭐⭐⭐;14/12/2025
37;Marvel;Chi è il villain principale di “Guardiani della Galassia”?;4 risposte;A) Loki, __B) Ronan l’Accusatore__, C) Thanos, D) Ultron;⭐⭐⭐;14/12/2025
38;Marvel;Nick Fury ha perso un occhio.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
39;Marvel;Quale personaggio è noto come “War Machine”?;4 risposte;A) Tony Stark, __B) James Rhodes__, C) Sam Wilson, D) Clint Barton;⭐⭐;14/12/2025
40;Marvel;In quale film compare per la prima volta Ant-Man?;4 risposte;A) Avengers: Age of Ultron, B) Civil War, __C) Ant-Man__, D) Infinity War;⭐⭐;14/12/2025
41;Marvel;Chi è il vero nome di Black Panther?;4 risposte;A) Killmonger, B) M’Baku, __C) T’Challa__, D) Shuri;⭐;14/12/2025
42;Marvel;Quale attore interpreta Thor?;4 risposte;A) Tom Hiddleston, __B) Chris Hemsworth__, C) Chris Evans, D) Mark Ruffalo;⭐⭐;14/12/2025
43;Marvel;Il Wakanda è nascosto al mondo esterno.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
44;Marvel;Chi è il villain principale di “Black Panther”?;4 risposte;A) Ultron, B) Thanos, __C) Killmonger__, D) Loki;⭐⭐;14/12/2025
