ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
DCCM00001;DC Comics;Qual è il vero nome di Batman?;4 risposte;A) Clark Kent, @B) Bruce Wayne, C) Barry Allen, D) Oliver Queen;⭐;14/12/2025
DCCM00002;DC Comics;In quale città opera Batman?;4 risposte;A) Metropolis, B) Central City, @C) Gotham City, D) Star City;⭐;14/12/2025
DCCM00003;DC Comics;Superman viene dal pianeta Krypton.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
DCCM00004;DC Comics;Qual è il vero nome di Superman?;4 risposte;A) Bruce Wayne, @B) Clark Kent, C) Hal Jordan, D) Lex Luthor;⭐;14/12/2025
DCCM00005;DC Comics;Scrivi il nome del pianeta natale di Superman.;Risposta aperta;@Krypton;⭐;14/12/2025
DCCM00006;DC Comics;Chi è il nemico principale di Superman?;4 risposte;A) Joker, @B) Lex Luthor, C) Darkseid, D) Brainiac;⭐⭐;14/12/2025
DCCM00007;DC Comics;Wonder Woman è una principessa amazzone.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
DCCM00008;DC Comics;Qual è il vero nome di Wonder Woman?;4 risposte;A) Kara Zor-El, B) Selina Kyle, @C) Diana Prince, D) Barbara Minerva;⭐⭐;14/12/2025
DCCM00009;DC Comics;In quale città opera Superman?;4 risposte;A) Gotham, @B) Metropolis, C) Central City, D) Coast City;⭐;14/12/2025
DCCM00010;DC Comics;Qual è il nome dell’alter ego di Flash (Silver Age)?;4 risposte;A) Wally West, @B) Barry Allen, C) Jay Garrick, D) Bart Allen;⭐⭐;14/12/2025
DCCM00011;DC Comics;Chi è il nemico storico di Flash?;4 risposte;A) Joker, B) Lex Luthor, @C) Reverse-Flash, D) Sinestro;⭐⭐;14/12/2025
DCCM00012;DC Comics;Lanterna Verde usa un anello di potere.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
DCCM00013;DC Comics;Qual è il vero nome della Lanterna Verde più famosa?;4 risposte;A) John Stewart, B) Guy Gardner, @C) Hal Jordan, D) Kyle Rayner;⭐⭐;14/12/2025
DCCM00014;DC Comics;Chi è il nemico principale di Batman?;4 risposte;A) Lex Luthor, B) Darkseid, @C) Joker, D) Bane;⭐;14/12/2025
DCCM00015;DC Comics;Scrivi il nome del maggiordomo di Bruce Wayne.;Risposta aperta;@Alfred Pennyworth;⭐;14/12/2025
DCCM00016;DC Comics;Aquaman è il re di quale regno?;4 risposte;A) Themyscira, B) Apokolips, @C) Atlantide, D) Oa;⭐⭐;14/12/2025
DCCM00017;DC Comics;Cyborg è parte della Justice League.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
DCCM00018;DC Comics;Qual è il vero nome di Cyborg?;4 risposte;A) John Henry Irons, @B) Victor Stone, C) Jefferson Pierce, D) Jason Todd;⭐⭐;14/12/2025
DCCM00019;DC Comics;Chi è il nemico principale di Aquaman?;4 risposte;A) Joker, B) Brainiac, @C) Black Manta, D) Sinestro;⭐⭐;14/12/2025
DCCM00020;DC Comics;Qual è il nome della città di Flash?;4 risposte;A) Gotham, B) Metropolis, @C) Central City, D) Star City;⭐;14/12/2025
DCCM00021;DC Comics;Chi è il vero nome di Robin (primo Robin)?;4 risposte;A) Jason Todd, B) Tim Drake, @C) Dick Grayson, D) Damian Wayne;⭐⭐;14/12/2025
DCCM00022;DC Comics;Batman non ha superpoteri.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
DCCM00023;DC Comics;Qual è il nome della città di Green Arrow?;4 risposte;A) Gotham, B) Metropolis, C) Central City, @D) Star City;⭐⭐;14/12/2025
DCCM00024;DC Comics;Chi è il vero nome di Green Arrow?;4 risposte;A) Barry Allen, B) Clark Kent, @C) Oliver Queen, D) Bruce Wayne;⭐⭐;14/12/2025
DCCM00025;DC Comics;Scrivi il nome della compagna di Joker.;Risposta aperta;@Harley Quinn;⭐⭐;14/12/2025
DCCM00026;DC Comics;Chi è il nemico principale di Wonder Woman?;4 risposte;A) Joker, B) Lex Luthor, @C) Ares, D) Bane;⭐⭐;14/12/2025
DCCM00027;DC Comics;Darkseid è un tiranno di Apokolips.;Vero/Falso;@Vero, Falso;⭐⭐⭐;14/12/2025
DCCM00028;DC Comics;Qual è il vero nome di Batgirl (versione classica)?;4 risposte;A) Selina Kyle, B) Cassandra Cain, @C) Barbara Gordon, D) Stephanie Brown;⭐⭐;14/12/2025
DCCM00029;DC Comics;Chi è il nemico principale di Green Lantern?;4 risposte;A) Joker, B) Brainiac, @C) Sinestro, D) Reverse-Flash;⭐⭐;14/12/2025
DCCM00030;DC Comics;Qual è il nome kryptoniano di Superman?;4 risposte;A) Kal-L, @B) Kal-El, C) Jor-El, D) Zod;⭐⭐;14/12/2025
