ID;Tema;Domanda;Tipologia;Risposta A;Risposta B;Risposta C;Risposta D;Risposta E;Risposta F;Difficoltà;Data creazione
ANMAN-0001;Anime e Manga;Chi è considerato il "Dio del Manga" per aver rivoluzionato il linguaggio del fumetto giapponese?;4 risposte;Go Nagai;Akira Toriyama;###Osamu Tezuka;Shotaro Ishinomori;;;⭐⭐;16/01/2026
ANMAN-0002;Anime e Manga;Qual è stato il primo anime a colori trasmesso in Giappone nel 1958?;4 risposte;Astro Boy;###La leggenda del serpente bianco;Kimba il leone bianco;Mazinga Z;;;⭐⭐⭐⭐;16/01/2026
ANMAN-0003;Anime e Manga;In quale anno è stato pubblicato il primo capitolo di "Akira" di Katsuhiro Otomo?;4 risposte;1980;###1982;1988;1990;;;⭐⭐⭐;16/01/2026
ANMAN-0004;Anime e Manga;Chi è l'autore del manga cyberpunk "Alita l'angelo della battaglia"?;4 risposte;Masamune Shirow;###Yukito Kishiro;Tsutomu Nihei;Katsuhiro Otomo;;;⭐⭐⭐;16/01/2026
ANMAN-0005;Anime e Manga;Qual è il nome dell'unità robotica pilotata da Shinji Ikari in "Neon Genesis Evangelion"?;4 risposte;Gundam;###Eva-01;Patlabor;Gurenn Lagann;;;⭐;16/01/2026
ANMAN-0006;Anime e Manga;Vero o Falso: Il termine "Manga" fu coniato originariamente dal pittore Hokusai nel XIX secolo.;Vero/Falso;###Vero;Falso;;;;;⭐⭐;16/01/2026
ANMAN-0007;Anime e Manga;In "Cowboy Bebop", qual è la razza del cane Ein?;4 risposte;Shiba Inu;Akita Inu;###Pembroke Welsh Corgi;Beagle;;;⭐⭐;16/01/2026
ANMAN-0008;Anime e Manga;Quale mangaka è l'autore dell'inquietante opera horror "Uzumaki"?;4 risposte;Hideshi Hino;Suehiro Maruo;###Junji Ito;Shintaro Kago;;;⭐⭐;16/01/2026
ANMAN-0009;Anime e Manga;In "Berserk", come si chiama la squadra di mercenari guidata da Griffith?;4 risposte;I lupi neri;###La Squadra dei Falchi;L'Armata delle Tenebre;I Cavalieri del Teschio;;;⭐;16/01/2026
ANMAN-0010;Anime e Manga;Completa il titolo dell'anime cult di Shin'ichiro Watanabe: "Samurai...";Frase interrotta a 2 risposte;...X;###...Champloo;;;;;⭐⭐;16/01/2026
ANMAN-0011;Anime e Manga;Quale rivista giapponese è la più venduta e famosa per la serializzazione dei manga Shonen?;4 risposte;Weekly Young Jump;###Weekly Shonen Jump;Monthly Afternoon;V-Jump;;;⭐;16/01/2026
ANMAN-0012;Anime e Manga;Chi è il creatore dei celebri robot "Mazinga Z" e "Devilman"?;4 risposte;Leiji Matsumoto;###Go Nagai;Yoshiyuki Tomino;Kunio Okawara;;;⭐;16/01/2026
ANMAN-0013;Anime e Manga;In quale città immaginaria è ambientato l'anime "Code Geass"?;4 risposte;Neo Tokyo;###Area 11;Academy City;District 9;;;⭐⭐;16/01/2026
ANMAN-0014;Anime e Manga;Qual è il nome del protagonista di "Trigun", noto come "Il tifone umano"?;4 risposte;Nicholas D. Wolfwood;Millions Knives;###Vash the Stampede;Legato Bluesummers;;;⭐;16/01/2026
ANMAN-0015;Anime e Manga;Quale di questi NON è un genere di manga basato sul target demografico?;6 risposte;Shonen;Shojo;Seinen;Josei;###Isekai;Kodomo;⭐⭐;16/01/2026
ANMAN-0016;Anime e Manga;Chi ha diretto il film d'animazione capolavoro "Perfect Blue"?;4 risposte;Hayao Miyazaki;Isao Takahata;###Satoshi Kon;Mamoru Oshii;;;⭐⭐⭐;16/01/2026
ANMAN-0017;Anime e Manga;In "Fullmetal Alchemist", qual è la legge fondamentale dell'alchimia?;4 risposte;Legge del cerchio;###Scambio Equivalente;Legge della massa;Principio di conservazione;;;⭐;16/01/2026
ANMAN-0018;Anime e Manga;Quale mangaka ha scritto e disegnato "Nausicaä della Valle del vento"?;4 risposte;Osamu Tezuka;###Hayao Miyazaki;Shotaro Ishinomori;Rumiko Takahashi;;;⭐⭐;16/01/2026
ANMAN-0019;Anime e Manga;Vero o Falso: L'anime "Heidi" è stato diretto da Isao Takahata con il contributo di Hayao Miyazaki.;Vero/Falso;###Vero;Falso;;;;;⭐⭐⭐;16/01/2026
ANMAN-0020;Anime e Manga;Continua la risposta: L'autore del celebre manga "Slam Dunk" e di "Vagabond" si chiama Takehiko...;Continua la risposta;###Inoue;;;;;;⭐⭐;16/01/2026
ANMAN-0021;Anime e Manga;Qual è il nome dell'intelligenza artificiale protagonista di "Ghost in the Shell" (1995)?;4 risposte;Il Burattinaio;###Il Signore dei Pupazzi (Puppet Master);Deep Blue;HAL 9000;;;⭐⭐⭐;16/01/2026
ANMAN-0022;Anime e Manga;In "Hellsing", qual è il nome del vampiro che lavora per l'organizzazione omonima?;4 risposte;Walter;###Alucard;Alexander Anderson;Seras Victoria;;;⭐;16/01/2026
ANMAN-0023;Anime e Manga;Quale di questi manga ha vinto il prestigioso "Tezuka Osamu Cultural Prize" per primo?;6 risposte;Monster;###Doraemon;Ping Pong;Real;Pluto;Gantz;⭐⭐⭐⭐;16/01/2026
ANMAN-0024;Anime e Manga;Qual è lo sport centrale nel manga "Lady Oscar" (Le Rose di Versailles)?;4 risposte;Tennis;###Scherma;Equitazione;Tiro con l'arco;;;⭐;16/01/2026
ANMAN-0025;Anime e Manga;Chi è l'autrice di "Ranma 1/2" e "Inuyasha"?;4 risposte;Naoko Takeuchi;###Rumiko Takahashi;Hiromu Arakawa;Clamp;;;⭐;16/01/2026
ANMAN-0026;Anime e Manga;In "JoJo's Bizarre Adventure", come si chiama l'abilità soprannaturale introdotta nella Parte 3?;4 risposte;Hamon;###Stand;Nen;Quirk;;;⭐;16/01/2026
ANMAN-0027;Anime e Manga;In quale anno è stato trasmesso il primo episodio di "UFO Robot Goldrake" in Italia?;4 risposte;1975;###1978;1980;1982;;;⭐⭐⭐;16/01/2026
ANMAN-0028;Anime e Manga;Quale manga di Naoki Urasawa racconta la storia di un chirurgo che salva un futuro serial killer?;4 risposte;20th Century Boys;###Monster;Pluto;Billy Bat;;;⭐⭐;16/01/2026
ANMAN-0029;Anime e Manga;Come si chiama la protagonista femminile di "Steins Gate"?;4 risposte;Mayuri Shiina;###Kurisu Makise;Moeka Kiryu;Luka Urushibara;;;⭐⭐⭐;16/01/2026
ANMAN-0030;Anime e Manga;Completa il titolo del celebre manga di Ken Akamatsu: "Love...";Frase interrotta a 2 risposte;...Hina;###...Hina;;;;;⭐;16/01/2026
ANMAN-0031;Anime e Manga;Quale robot gigante è alimentato dall'energia "Getter"?;4 risposte;Mazinga Z;Goldrake;###Getter Robot;Jeeg Robot d'acciaio;;;⭐⭐;16/01/2026
ANMAN-0032;Anime e Manga;Chi è il protagonista del manga "Lone Wolf and Cub"?;4 risposte;Musashi Miyamoto;###Itto Ogami;Zatoichi;Sanuro;;;⭐⭐⭐⭐;16/01/2026
ANMAN-0033;Anime e Manga;In "Great Teacher Onizuka" (GTO), cosa faceva Eikichi Onizuka prima di diventare insegnante?;4 risposte;Il poliziotto;###Il teppista (Bozuzoku);Il barista;Il lottatore;;;⭐⭐;16/01/2026
ANMAN-0034;Anime e Manga;A quale mangaka dobbiamo l'opera "Video Girl Ai"?;4 risposte;Takeshi Obata;###Masakazu Katsura;Ken Akamatsu;Hiro Mashima;;;⭐⭐⭐;16/01/2026
ANMAN-0035;Anime e Manga;Qual è il nome dello studio d'animazione che ha prodotto "Neon Genesis Evangelion"?;4 risposte;Madhouse;###Gainax;Sunrise;Bones;;;⭐⭐;16/01/2026
ANMAN-0036;Anime e Manga;Vero o Falso: Il protagonista di "Detective Conan" torna bambino a causa di un veleno chiamato APTX 4869.;Vero/Falso;###Vero;Falso;;;;;⭐⭐;16/01/2026
ANMAN-0037;Anime e Manga;Chi ha creato il manga "Captain Tsubasa" (Holly e Benji)?;4 risposte;###Yoichi Takahashi;Buronson;Tetsuo Hara;Mitsuru Adachi;;;⭐;16/01/2026
ANMAN-0038;Anime e Manga;Qual è il titolo del manga che segue le vicende di una rock band femminile formata da Nana Osaki e Nana Komatsu?;4 risposte;Paradise Kiss;###Nana;Beck;Gokuls;;;⭐;16/01/2026
ANMAN-0039;Anime e Manga;In "Great Mazinger", chi è il pilota del robot?;4 risposte;Koji Kabuto;###Tetsuya Tsurugi;Duke Fleed;Hiroshi Shiba;;;⭐⭐⭐;16/01/2026
ANMAN-0040;Anime e Manga;Quale di questi anime NON è ambientato nello spazio?;6 risposte;Mobile Suit Gundam;Space Battleship Yamato;Macross;Legend of the Galactic Heroes;Outlaw Star;###Mushishi;⭐⭐;16/01/2026
ANMAN-0041;Anime e Manga;Come si chiama la tecnica di combattimento di Kenshiro in "Ken il Guerriero"?;4 risposte;Nanto Seiken;###Hokuto Shinken;Gantz;Sushido;;;⭐;16/01/2026
ANMAN-0042;Anime e Manga;Chi è l'autore del manga "Le bizzarre avventure di JoJo"?;4 risposte;###Hirohiko Araki;Tite Kubo;Masashi Kishimoto;Yoshihiro Togashi;;;⭐;16/01/2026
ANMAN-0043;Anime e Manga;Come si chiama il gatto robot spaziale azzurro creato da Fujiko F. Fujio?;Risposta aperta;###Doraemon;;;;;;⭐;16/01/2026
ANMAN-0044;Anime e Manga;Qual è il nome della protagonista di "Sailor Moon" nella versione originale?;4 risposte;###Usagi Tsukino;Rei Hino;Ami Mizuno;Minako Aino;;;⭐;16/01/2026
ANMAN-0045;Anime e Manga;Vero o Falso: "La corazzata Yamato" è un'opera di Leiji Matsumoto.;Vero/Falso;###Vero;Falso;;;;;⭐⭐;16/01/2026
ANMAN-0046;Anime e Manga;In "Black Lagoon", come si chiama la mercenaria abilissima con le pistole?;4 risposte;Balalaika;###Revy;Eda;Roberta;;;⭐⭐;16/01/2026
ANMAN-0047;Anime e Manga;Qual è il primo manga ad aver vinto il premio "Miglior fumetto" al Festival di Angoulême?;4 risposte;Akira;###Quartieri Lontani (Jiro Taniguchi);Budda;Gen di Hiroshima;;;⭐⭐⭐⭐;16/01/2026
