ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CIN20001;Cinema 2000-2010;Quale film ha vinto l'Oscar come Miglior Film per l'anno 2000 (cerimonia 2001)?;4 risposte;###A) Il Gladiatore, B) La tigre e il dragone, C) Traffic, D) American Beauty;⭐⭐⭐;16/01/2026
CIN20002;Cinema 2000-2010;Chi ha diretto "Il Signore degli Anelli - La Compagnia dell'Anello" (2001)?;4 risposte;A) Ridley Scott, ###B) Peter Jackson, C) Guillermo del Toro, D) Christopher Nolan;⭐⭐⭐;16/01/2026
CIN20003;Cinema 2000-2010;"Memento" è un film diretto da quale regista?;4 risposte;A) David Fincher, B) Guy Ritchie, ###C) Christopher Nolan, D) Paul Thomas Anderson;⭐⭐⭐;16/01/2026
CIN20004;Cinema 2000-2010;Chi interpreta Lisbeth Salander nella versione svedese di "Uomini che odiano le donne" (2009)?;4 risposte;###A) Noomi Rapace, B) Alicia Vikander, C) Rooney Mara, D) Eva Green;⭐⭐⭐;16/01/2026
CIN20005;Cinema 2000-2010;Chi ha diretto "Se mi lasci ti cancello" (Eternal Sunshine of the Spotless Mind)?;Risposta aperta;###Michel Gondry;⭐⭐⭐;16/01/2026
CIN20006;Cinema 2000-2010;Quale film di Christopher Nolan esplora il tema dei sogni condivisi ed è uscito nel 2010?;4 risposte;A) Il cavaliere oscuro, B) Memento, ###C) Inception, D) The Prestige;⭐⭐⭐;16/01/2026
CIN20007;Cinema 2000-2010;"Non è un paese per vecchi" è tratto da un romanzo di quale autore?;4 risposte;A) Cormac McCarthy, B) Don DeLillo, ###C) Cormac McCarthy, D) Philip Roth;⭐⭐⭐;16/01/2026
CIN20008;Cinema 2000-2010;In quale film compare per la prima volta il personaggio Jack Sparrow interpretato da Johnny Depp?;4 risposte;A) Edward mani di forbice, B) Sweeney Todd, ###C) Pirati dei Caraibi - La maledizione della prima luna, D) La fabbrica di cioccolato;⭐⭐⭐;16/01/2026
CIN20009;Cinema 2000-2010;Chi ha diretto "Il labirinto del fauno" (2006)?;4 risposte;A) Alfonso Cuarón, ###B) Guillermo del Toro, C) Alejandro González Iñárritu, D) Pedro Almodóvar;⭐⭐⭐;16/01/2026
CIN20010;Cinema 2000-2010;Quale film tratto da Dan Brown è stato diretto da Ron Howard nel 2006?;4 risposte;A) Angeli e demoni, ###B) Il codice Da Vinci, C) Inferno, D) Il nome della rosa;⭐⭐⭐;16/01/2026
CIN20011;Cinema 2000-2010;Chi ha diretto "The Departed - Il bene e il male" (2006)?;4 risposte;A) Quentin Tarantino, B) Steven Spielberg, ###C) Martin Scorsese, D) Clint Eastwood;⭐⭐;16/01/2026
CIN20012;Cinema 2000-2010;Qual è il titolo italiano del film noto come "X2" uscito nel 2003?;4 risposte;A) X-Men, B) X-Men - L'inizio, ###C) X2 - X-Men United, D) X-Men - Conflitto finale;⭐⭐;16/01/2026
CIN20013;Cinema 2000-2010;Chi interpreta Tony Stark/Iron Man nel film del 2008?;Risposta aperta;###Robert Downey Jr.;⭐⭐;16/01/2026
CIN20014;Cinema 2000-2010;Quale film del 2001 ha rilanciato la popolarità dei grandi fantasy epici?;4 risposte;A) Harry Potter e la pietra filosofale, ###B) Il Signore degli Anelli - La Compagnia dell'Anello, C) Le cronache di Narnia, D) La mummia - Il ritorno;⭐⭐;16/01/2026
CIN20015;Cinema 2000-2010;Chi ha diretto "I segreti di Brokeback Mountain" (2005)?;4 risposte;A) Ang Lee, B) Gus Van Sant, C) Todd Haynes, ###D) Ang Lee;⭐⭐;16/01/2026
CIN20016;Cinema 2000-2010;Chi ha diretto "Il cavaliere oscuro" (2008)?;4 risposte;A) Zack Snyder, B) Tim Burton, ###C) Christopher Nolan, D) David Fincher;⭐⭐;16/01/2026
