ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CNNK00001;Cartoni Cartoon Network e Nickelodeon;Chi ha creato "The Powerpuff Girls"?;4 risposte;A) Genndy Tartakovsky, ###B) Craig McCracken, C) Butch Hartman, D) Pendleton Ward;⭐⭐;15/01/2026
CNNK00002;Cartoni Cartoon Network e Nickelodeon;In quale rete è andato in onda originariamente "SpongeBob SquarePants"?;4 risposte;A) Cartoon Network, ###B) Nickelodeon, C) Disney Channel, D) Fox Kids;⭐;15/01/2026
CNNK00003;Cartoni Cartoon Network e Nickelodeon;"Dexter's Laboratory" è una serie creata da Genndy Tartakovsky.;Vero/Falso;###Vero, Falso;⭐⭐;15/01/2026
CNNK00004;Cartoni Cartoon Network e Nickelodeon;Qual è il nome del protagonista di "Johnny Bravo"?;4 risposte;A) Jack Bravo, B) John Bravo, ###C) Johnny Bravo, D) Joe Bravo;⭐;15/01/2026
CNNK00005;Cartoni Cartoon Network e Nickelodeon;Chi ha creato "Adventure Time"?;4 risposte;A) Rebecca Sugar, ###B) Pendleton Ward, C) J.G. Quintel, D) Ben Bocquelet;⭐⭐;15/01/2026
CNNK00006;Cartoni Cartoon Network e Nickelodeon;Chi è il migliore amico di Finn in "Adventure Time"?;4 risposte;A) BMO, ###B) Jake the Dog, C) Marceline, D) Ice King;⭐;15/01/2026
CNNK00007;Cartoni Cartoon Network e Nickelodeon;"Hey Arnold!" è ambientato in una città immaginaria chiamata Hillwood.;Vero/Falso;Vero, ###Falso;⭐⭐;15/01/2026
CNNK00008;Cartoni Cartoon Network e Nickelodeon;Quale serie presenta un ragazzo che diventa un fantasma per combattere il crimine?;4 risposte;A) Invader Zim, ###B) Danny Phantom, C) The Fairly OddParents, D) Courage the Cowardly Dog;⭐⭐;15/01/2026
CNNK00009;Cartoni Cartoon Network e Nickelodeon;Chi ha creato "Samurai Jack"?;4 risposte;A) Craig McCracken, ###B) Genndy Tartakovsky, C) Pendleton Ward, D) Butch Hartman;⭐⭐;15/01/2026
CNNK00010;Cartoni Cartoon Network e Nickelodeon;Qual è il nome del cane protagonista in "Courage the Cowardly Dog"?;4 risposte;A) Courage, B) Sparky, C) Bingo, ###D) Courage;⭐⭐;15/01/2026
CNNK00011;Cartoni Cartoon Network e Nickelodeon;"The Amazing World of Gumball" è prodotto da Cartoon Network Studios Europe.;Vero/Falso;###Vero, Falso;⭐⭐;15/01/2026
CNNK00012;Cartoni Cartoon Network e Nickelodeon;Quale serie Nickelodeon è famosa per i neonati Tommy, Chuckie e Angelica?;4 risposte;A) Rugrats, B) Hey Arnold!, C) Rocko's Modern Life, ###D) Rugrats;⭐;15/01/2026
CNNK00013;Cartoni Cartoon Network e Nickelodeon;Chi ha creato "The Fairly OddParents"?;4 risposte;A) Craig McCracken, B) Genndy Tartakovsky, ###C) Butch Hartman, D) Pendleton Ward;⭐⭐;15/01/2026
CNNK00014;Cartoni Cartoon Network e Nickelodeon;Quale personaggio dice spesso "I'm ready!"?;4 risposte;A) Dora, B) Timmy Turner, ###C) SpongeBob SquarePants, D) Tommy;⭐;15/01/2026
CNNK00015;Cartoni Cartoon Network e Nickelodeon;La serie "Ed, Edd n Eddy" è stata creata da Danny Antonucci.;Vero/Falso;###Vero, Falso;⭐⭐;15/01/2026
CNNK00016;Cartoni Cartoon Network e Nickelodeon;Quale show presenta un ragazzo con un orologio che gli permette di trasformarsi in alieni?;4 risposte;A) Generator Rex, ###B) Ben 10, C) Sym-Bionic Titan, D) Teen Titans;⭐⭐;15/01/2026
CNNK00017;Cartoni Cartoon Network e Nickelodeon;Chi ha creato "Invader Zim"?;4 risposte;A) Butch Hartman, ###B) Jhonen Vasquez, C) Craig McCracken, D) Genndy Tartakovsky;⭐⭐;15/01/2026
CNNK00018;Cartoni Cartoon Network e Nickelodeon;"Regular Show" è stato creato da J.G. Quintel.;Vero/Falso;###Vero, Falso;⭐⭐;15/01/2026
CNNK00019;Cartoni Cartoon Network e Nickelodeon;Quale serie presenta un ragazzo che lavora in una pizzeria e sogna di diventare un eroe?;4 risposte;A) The Fairly OddParents, B) SpongeBob SquarePants, ###C) Steven Universe (Steven lavora al Beach City con la famiglia), D) Hey Arnold!;⭐⭐⭐;15/01/2026
CNNK00020;Cartoni Cartoon Network e Nickelodeon;Chi ha creato "The Amazing World of Gumball"?;4 risposte;A) Pendleton Ward, ###B) Ben Bocquelet, C) Craig McCracken, D) Genndy Tartakovsky;⭐⭐;15/01/2026
CNNK00021;Cartoni Cartoon Network e Nickelodeon;Quale serie presenta il trio Blossom, Bubbles e Buttercup?;4 risposte;A) Dexter's Laboratory, ###B) The Powerpuff Girls, C) Foster's Home for Imaginary Friends, D) Ed, Edd n Eddy;⭐;15/01/2026
CNNK00022;Cartoni Cartoon Network e Nickelodeon;Chi ha creato "Ed, Edd n Eddy"?;4 risposte;A) Craig McCracken, ###B) Danny Antonucci, C) Genndy Tartakovsky, D) Pendleton Ward;⭐⭐;15/01/2026
CNNK00023;Cartoni Cartoon Network e Nickelodeon;"Chowder" è ambientato in una città chiamata Marzipan.;Vero/Falso;###Vero, Falso;⭐⭐;15/01/2026
CNNK00024;Cartoni Cartoon Network e Nickelodeon;Quale serie presenta un ragazzo che costruisce robot e combatte criminali con tecnologia?;4 risposte;A) Ben 10, ###B) Generator Rex, C) Teen Titans, D) Samurai Jack;⭐⭐;15/01/2026
